Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\XRF Scan 2 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:51:36 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
1181,23.6,8
1182,23.62,5
1183,23.64,5
1184,23.66,7
1185,23.68,6
1186,23.7,10
1187,23.72,9
1188,23.74,7
1189,23.76,6
1190,23.78,1
1191,23.8,7
1192,23.82,3
1193,23.84,4
1194,23.86,8
1195,23.88,6
1196,23.9,8
1197,23.92,3
1198,23.94,5
1199,23.96,6
1200,23.98,5
1201,24,11
1202,24.02,7
1203,24.04,6
1204,24.06,4
1205,24.08,11
1206,24.1,6
1207,24.12,6
1208,24.14,4
1209,24.16,7
1210,24.18,5
1211,24.2,11
1212,24.22,4
1213,24.24,4
1214,24.26,5
1215,24.28,5
1216,24.3,8
1217,24.32,5
1218,24.34,4
1219,24.36,6
1220,24.38,6
1221,24.4,8
1222,24.42,8
1223,24.44,2
1224,24.46,8
1225,24.48,3
1226,24.5,3
1227,24.52,9
1228,24.54,1
1229,24.56,10
1230,24.58,3
1231,24.6,8
1232,24.62,4
1233,24.64,5
1234,24.66,6
1235,24.68,9
1236,24.7,9
1237,24.72,7
1238,24.74,11
1239,24.76,10
1240,24.78,13
1241,24.8,9
1242,24.82,11
1243,24.84,11
1244,24.86,26
1245,24.88,26
1246,24.9,17
1247,24.92,19
1248,24.94,34
1249,24.96,30
1250,24.98,27
1251,25,25
1252,25.02,33
1253,25.04,30
1254,25.06,25
1255,25.08,28
1256,25.1,29
1257,25.12,37
1258,25.14,39
1259,25.16,37
1260,25.18,38
1261,25.2,44
1262,25.22,40
1263,25.24,37
1264,25.26,47
1265,25.28,33
1266,25.3,40
1267,25.32,28
1268,25.34,32
1269,25.36,25
1270,25.38,21
1271,25.4,31
1272,25.42,22
1273,25.44,20
1274,25.46,16
1275,25.48,9
1276,25.5,16
1277,25.52,7
1278,25.54,17
1279,25.56,6
1280,25.58,11
1281,25.6,9
1282,25.62,5
1283,25.64,7
1284,25.66,12
1285,25.68,7
1286,25.7,7
1287,25.72,4
1288,25.74,12
1289,25.76,4
1290,25.78,3
1291,25.8,3
1292,25.82,8
1293,25.84,5
1294,25.86,6
1295,25.88,3
1296,25.9,7
1297,25.92,9
1298,25.94,11
1299,25.96,12
1300,25.98,11
1301,26,3
1302,26.02,11
1303,26.04,11
1304,26.06,10
1305,26.08,7
1306,26.1,9
1307,26.12,6
1308,26.14,5
1309,26.16,8
1310,26.18,5
1311,26.2,6
1312,26.22,2
1313,26.24,4
1314,26.26,8
1315,26.28,5
1316,26.3,10
1317,26.32,8
1318,26.34,9
1319,26.36,7
1320,26.38,9
1321,26.4,8
1322,26.42,5
1323,26.44,7
1324,26.46,9
1325,26.48,6
1326,26.5,11
1327,26.52,6
1328,26.54,9
1329,26.56,8
1330,26.58,3
1331,26.6,3
1332,26.62,3
1333,26.64,3
1334,26.66,5
1335,26.68,8
1336,26.7,6
1337,26.72,5
1338,26.74,3
1339,26.76,5
1340,26.78,4
1341,26.8,5
1342,26.82,3
1343,26.84,5
1344,26.86,4
1345,26.88,4
1346,26.9,7
1347,26.92,10
1348,26.94,5
1349,26.96,3
1350,26.98,6
1351,27,8
1352,27.02,4
1353,27.04,5
1354,27.06,6
1355,27.08,4
1356,27.1,6
1357,27.12,7
1358,27.14,9
1359,27.16,5
1360,27.18,6
1361,27.2,5
1362,27.22,4
1363,27.24,8
1364,27.26,3
