Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Heads.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:53:55 AM
TotalElapsedTimeInSeconds,32
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
930,18.58,15
931,18.6,18
932,18.62,13
933,18.64,14
934,18.66,20
935,18.68,15
936,18.7,14
937,18.72,12
938,18.74,19
939,18.76,18
940,18.78,8
941,18.8,15
942,18.82,19
943,18.84,15
944,18.86,14
945,18.88,20
946,18.9,23
947,18.92,8
948,18.94,20
949,18.96,17
950,18.98,25
951,19,18
952,19.02,23
953,19.04,24
954,19.06,13
955,19.08,18
956,19.1,18
957,19.12,10
958,19.14,23
959,19.16,25
960,19.18,18
961,19.2,20
962,19.22,18
963,19.24,10
964,19.26,17
965,19.28,21
966,19.3,13
967,19.32,27
968,19.34,20
969,19.36,18
970,19.38,17
971,19.4,12
972,19.42,12
973,19.44,20
974,19.46,12
975,19.48,11
976,19.5,16
977,19.52,23
978,19.54,19
979,19.56,8
980,19.58,16
981,19.6,16
982,19.62,14
983,19.64,13
984,19.66,7
985,19.68,13
986,19.7,16
987,19.72,20
988,19.74,11
989,19.76,19
990,19.78,28
991,19.8,15
992,19.82,13
993,19.84,14
994,19.86,13
995,19.88,21
996,19.9,20
997,19.92,32
998,19.94,31
999,19.96,31
1000,19.98,33
1001,20,29
1002,20.02,35
1003,20.04,32
1004,20.06,45
1005,20.08,36
1006,20.1,48
1007,20.12,49
1008,20.14,55
1009,20.16,47
1010,20.18,52
1011,20.2,61
1012,20.22,47
1013,20.24,41
1014,20.26,49
1015,20.28,31
1016,20.3,41
1017,20.32,30
1018,20.34,25
1019,20.36,28
1020,20.38,17
1021,20.4,19
1022,20.42,20
1023,20.44,19
1024,20.46,15
1025,20.48,13
1026,20.5,10
1027,20.52,8
1028,20.54,5
1029,20.56,5
1030,20.58,8
1031,20.6,14
1032,20.62,7
1033,20.64,7
1034,20.66,6
1035,20.68,17
1036,20.7,11
1037,20.72,12
1038,20.74,5
1039,20.76,9
1040,20.78,8
1041,20.8,9
1042,20.82,11
1043,20.84,10
1044,20.86,8
1045,20.88,8
1046,20.9,8
1047,20.92,12
1048,20.94,13
1049,20.96,16
1050,20.98,7
1051,21,9
1052,21.02,11
1053,21.04,6
1054,21.06,9
